[00:00]  Sottotitoli creati dalla comunità Amara.org
[00:03]  Sottotitoli creati dalla comunità Amara.org
[00:28]  Buongiorno, sono Paola Contardi,
[00:31]  psicologa, psicoterapeuta e psicologa dello sport,
[00:35]  e in questa prima parte parleremo di tre argomenti,
[00:40]  il processo di comunicazione, l'intelligenza emotiva e insegnamento ed apprendimento.
[00:48]  Iniziamo con il primo argomento, che è appunto il processo di comunicazione.
[00:54]  Il termine comunicazione deriva dal latino comunico, ovvero mettere in comune.
[01:00]  Quindi comunicare significa far capire agli altri il nostro messaggio attraverso parole, gesti, immagini.
[01:09]  Comunicare con gli altri vuol dire scambiare non solo idee, ma anche emozioni e sensazioni,
[01:16]  e per ciò richiede non solo molta attenzione, ma anche il superamento di una serie di barriere comunicative.
[01:25]  C'è da dire che la comunicazione è alla base dei rapporti interpersonali.
[01:30]  Per diventare un bravo insegnante è necessario considerare che alla base della comunicazione didattica
[01:38]  c'è un processo bidirezionale all'interno del quale, oltre alla capacità di comunicare,
[01:45]  c'è anche quella di saper ascoltare.
[01:49]  È necessario che l'istruttore diventi consapevole che per produrre un cambiamento all'interno dell'azione didattica
[01:57]  è più importante ciò che arriva rispetto a ciò che parte,
[02:02]  e quindi l'effetto che otteniamo e non l'intenzione che si aveva in partenza.
[02:10]  È importante quindi imparare a sviluppare modalità di comunicazione corrette e consapevoli
[02:16]  acquisendo competenza, in modo particolare nell'ambito didattico,
[02:21]  che è quello che in questa sede maggiormente ci interessa,
[02:25]  al fine di favorire l'attività di insegnamento ed apprendimento
[02:29]  per arrivare all'obiettivo di saper stare bene in acqua a tutte le età.
[02:35]  Pertanto, l'istruttore dovrà acquisire le competenze utili all'insegnamento,
[02:42]  ricoevandole dall'applicazione dei principi delle scienze dell'educazione e della psicologia,
[02:49]  nonché essere dotato di conoscenze indispensabili per la comprensione della propria e altrui comunicazione.
[02:58]  Pertanto, metteremo a fuoco i concetti di competenza comunicativa,
[03:04]  del come si può ottenere e cosa fare per migliorarla sia nel rapporto tra istruttore d'allievo
[03:11]  che di comunicazione didattica.
[03:14]  Formalmente, la comunicazione ha alcuni elementi base
[03:19]  che concorrono a realizzare un atto comunicativo.
[03:24]  Questi sono l'emittente, e cioè la persona che avvia la comunicazione attraverso un messaggio,
[03:31]  e il ricevente, ovvero colui che decide di accogliere o meno il messaggio,
[03:37]  lo decodifica, lo interpreta, lo comprende e, nel caso specifico, lo mette in atto.
[03:44]  Essendo, come abbiamo detto, la comunicazione bidirezionale,
[03:49]  insegnante e allievo sono emittenti e riceventi dei messaggi.
[03:55]  Il messaggio, invece, è il contenuto della comunicazione,
[04:01]  ciò che viene scambiato sotto forma di informazione tra l'emittente e ricevente
[04:07]  e rappresenta al tempo stesso ciò che si comunica e il modo in cui lo si fa.
[04:13]  L'istruttore, come emittente di un messaggio, deve
